ENGLISH,OCCURENCES,ENGLISH_stem
bender,111,bender
facade,67,facad
hidalgo,95,hidalgo
pedro,1049,pedro
manila,441,manila
lobby,112,lobbi
chapel,325,chapel
fountain,251,fountain
rajah,47,rajah
rehabilitation,88,rehabilit
tourism,414,tourism
euro,960,euro
ecb,43,ecb
banknotes,104,banknot
counterfeiting,679,counterfeit
cromwell,93,cromwel
valiant,73,valiant
marquee,52,marque
rue,69,rue
bec,91,bec
bogie,27,bogi
wagon,176,wagon
dam,497,dam
carriageway,33,carriageway
propulsion,50,propuls
fluid,162,fluid
utah,1558,utah
dissolution,107,dissolut
lo,419,lo
tod,30,tod
warsaw,438,warsaw
waterfall,88,waterfal
jumper,144,jumper
estate,374,estat
spray,91,spray
codex,38,codex
kiev,155,kiev
marina,114,marina
trump,229,trump
merlin,100,merlin
cage,261,cage
filth,342,filth
otters,30,otter
clamshells,57,clamshel
chirps,57,chirp
hedgehog,386,hedgehog
hickory,82,hickori
emperor,651,emperor
renovated,56,renov
zebra,157,zebra
mantis,50,manti
kung,142,kung
ottawa,1647,ottawa
awm,305,awm
scotch,127,scotch
loudly,134,loudli
cocktail,87,cocktail
myriad,38,myriad
canisters,27,canist
cabinet,702,cabinet
flashlight,29,flashlight
gamer,114,gamer
vine,107,vine
sterling,220,sterl
magnolia,44,magnolia
lancaster,250,lancast
roundabout,37,roundabout
canoe,58,cano
peugeot,186,peugeot
anglicanism,34,anglican
alec,256,alec
penultimate,142,penultim
peril,44,peril
hull,490,hull
darwin,578,darwin
lc,119,lc
damascus,101,damascu
norseman,455,norseman
councillor,246,councillor
shire,326,shire
recession,308,recess
derbyshire,326,derbyshir
derby,447,derbi
val,151,val
avatar,327,avatar
wright,1011,wright
glider,199,glider
pictorial,55,pictori
horace,163,horac
gliding,53,glide
kitty,195,kitti
hawk,544,hawk
warden,31,warden
giles,318,gile
vila,84,vila
quartermaster,130,quartermast
broccoli,58,broccoli
heath,282,heath
volcano,517,volcano
floor,797,floor
burnt,178,burnt
gasoline,212,gasolin
ridley,51,ridley
piazza,83,piazza
dismantled,48,dismantl
redesigned,69,redesign
ramp,55,ramp
hangar,34,hangar
insulation,58,insul
superman,304,superman
phyllis,64,phylli
slater,168,slater
lucy,242,luci
ursa,44,ursa
gorman,81,gorman
pillow,50,pillow
lester,229,lester
reg,132,reg
goldsmith,36,goldsmith
lawrence,1108,lawrenc
fortress,277,fortress
metropolis,44,metropoli
krypton,102,krypton
argo,26,argo
beethoven,174,beethoven
kryptonite,27,kryptonit
toru,30,toru
otto,325,otto
stoke,196,stoke
brass,227,brass
duel,498,duel
puffin,43,puffin
loma,73,loma
brick,213,brick
seismic,170,seismic
henchmen,30,henchmen
solace,33,solac
synopsis,200,synopsi
mb,414,mb
stacking,32,stack
louisiana,1543,louisiana
weaver,194,weaver
randall,193,randal
mal,154,mal
fac,161,fac
plumbing,42,plumb
punctured,32,punctur
buckeyes,402,buckey
milk,1023,milk
erin,237,erin
roi,1556,roi
kennedy,1126,kennedi
freshman,510,freshman
cyclist,52,cyclist
climber,33,climber
ukrainian,346,ukrainian
siena,44,siena
swamp,110,swamp
trinidad,574,trinidad
ova,26,ova
pocket,308,pocket
starfish,81,starfish
kingston,398,kingston
serpent,39,serpent
mound,227,mound
quarterly,54,quarterli
pac,494,pac
militant,244,milit
incubus,26,incubu
anarchist,84,anarchist
overlord,49,overlord
cyborg,39,cyborg
slight,292,slight
plasma,169,plasma
needle,73,needl
bust,112,bust
celeste,46,celest
serena,154,serena
muscles,48,muscl
wrapped,166,wrap
mutation,77,mutat
disposal,123,dispos
starving,26,starv
turf,118,turf
mutants,28,mutant
tempered,61,temper
olympians,37,olympian
prophecy,68,propheci
archery,78,archeri
chou,43,chou
lesbian,337,lesbian
jin,128,jin
supernatural,102,supernatur
loki,90,loki
courier,96,courier
sniper,195,sniper
clad,62,clad
notch,49,notch
deadly,271,deadli
prize,2221,prize
fraser,401,fraser
extermination,91,extermin
anders,228,ander
foreground,60,foreground
harbour,348,harbour
consolidated,375,consolid
irreplaceable,58,irreplac
zoo,283,zoo
fc,1311,fc
barnard,75,barnard
amish,129,amish
undated,28,undat
englishman,53,englishman
facial,83,facial
gritty,39,gritti
realistic,157,realist
knoxville,145,knoxvil
specialty,69,specialti
walrus,174,walru
cecil,153,cecil
lemonade,26,lemonad
shaken,52,shaken
finch,81,finch
pringle,884,pringl
baron,634,baron
iodide,202,iodid
sensation,78,sensat
unwanted,2854,unwant
goofy,43,goofi
sneaky,476,sneaki
bronx,248,bronx
youngest,199,youngest
alderman,65,alderman
mead,65,mead
sly,34,sli
firmly,123,firmli
disapproval,45,disapprov
narcotics,42,narcot
taller,44,taller
beneficial,125,benefici
consciousness,143,conscious
pinnacle,33,pinnacl
wary,39,wari
cork,195,cork
transactions,378,transact
daredevil,53,daredevil
bain,56,bain
inflicting,46,inflict
colt,369,colt
replica,74,replica
ezra,91,ezra
pranks,36,prank
nacho,29,nacho
gangster,212,gangster
presidente,37,president
subheading,37,subhead
viii,369,viii
fireplace,44,fireplac
therapy,260,therapi
lima,437,lima
tristan,71,tristan
hardship,29,hardship
gender,213,gender
biotechnology,105,biotechnolog
virgo,87,virgo
noodles,39,noodl
fried,201,fri
meadow,58,meadow
colorado,2330,colorado
somerset,476,somerset
dublin,501,dublin
amal,53,amal
stratus,79,stratu
rodeo,45,rodeo
suzuki,268,suzuki
pax,145,pax
oldsmobile,80,oldsmobil
silhouette,77,silhouett
tacoma,92,tacoma
coupe,202,coup
albion,217,albion
wight,134,wight
oregon,1979,oregon
hudson,642,hudson
kyle,1059,kyle
kite,226,kite
romney,167,romney
magna,159,magna
conceptual,53,conceptu
kant,85,kant
spatial,73,spatial
crisis,2035,crisi
communique,36,communiqu
desktop,124,desktop
graffiti,315,graffiti
lina,34,lina
tequila,104,tequila
escort,301,escort
landau,40,landau
midday,94,midday
comedic,28,comed
groundhog,53,groundhog
heap,73,heap
myron,42,myron
helpless,33,helpless
cottage,85,cottag
allegro,28,allegro
violin,155,violin
concerto,63,concerto
wichita,86,wichita
conductor,109,conductor
chamber,539,chamber
katrina,768,katrina
orleans,1440,orlean
aerial,450,aerial
mall,737,mall
auteur,87,auteur
algeria,473,algeria
rochelle,38,rochel
distributor,65,distributor
roc,130,roc
travail,71,travail
rural,320,rural
pol,185,pol
raceway,783,raceway
carter,1313,carter
vc,138,vc
raffles,115,raffl
leopard,260,leopard
scrutiny,107,scrutini
capsule,81,capsul
cannabis,753,cannabi
ulysses,237,ulyss
schneider,165,schneider
proprietary,68,proprietari
hex,47,hex
endless,147,endless
dismay,34,dismay
tabor,33,tabor
drove,968,drove
conscience,53,conscienc
narrative,396,narr
persuaded,110,persuad
dinosaurs,82,dinosaur
asylum,77,asylum
rode,148,rode
sunlight,38,sunlight
bleed,32,bleed
overpopulation,88,overpopul
decay,160,decay
roosevelt,597,roosevelt
sirens,31,siren
ranch,231,ranch
glowing,36,glow
catfish,101,catfish
louise,274,louis
ile,28,ile
cincinnati,1797,cincinnati
mascot,254,mascot
mayor,511,mayor
runoff,40,runoff
marcel,173,marcel
kala,49,kala
atlantis,175,atlanti
spaceflight,49,spaceflight
shuttle,486,shuttl
aboard,262,aboard
afloat,29,afloat
bilateral,39,bilater
diagnostic,30,diagnost
closeup,27,closeup
spitfires,77,spitfir
torrent,44,torrent
pretext,55,pretext
introductory,121,introductori
disorder,809,disord
howdy,111,howdi
slone,29,slone
signified,85,signifi
aloha,92,aloha
lei,27,lei
samaritan,50,samaritan
tau,186,tau
collage,43,collag
indonesian,298,indonesian
cambodian,64,cambodian
plato,165,plato
dun,29,dun
elite,551,elit
ib,63,ib
lu,145,lu
elderly,119,elderli
resized,75,resiz
unbelievable,69,unbeliev
learnt,62,learnt
welfare,155,welfar
fir,626,fir
ching,103,ching
kwan,37,kwan
organizational,262,organiz
eng,279,eng
pamphlet,73,pamphlet
christine,137,christin
reenter,238,reenter
chest,199,chest
fundraising,38,fundrais
brilliance,26,brillianc
fest,31,fest
thor,186,thor
spinal,108,spinal
overlapping,50,overlap
josh,1486,josh
marco,411,marco
dow,106,dow
digest,74,digest
antwerp,96,antwerp
flemish,130,flemish
partizan,28,partizan
flanders,161,flander
cordon,47,cordon
bart,280,bart
gopher,79,gopher
parliamentary,360,parliamentari
col,776,col
refueling,525,refuel
nobel,233,nobel
costly,122,costli
aux,122,aux
payload,26,payload
intercept,57,intercept
ballistic,125,ballist
minuteman,72,minuteman
intercontinental,239,intercontinent
calif,93,calif
interceptor,133,interceptor
warhead,37,warhead
midsummer,126,midsumm
dlr,80,dlr
canary,90,canari
antisubmarine,26,antisubmarin
woodpecker,40,woodpeck
hine,46,hine
compulsory,179,compulsori
kanji,38,kanji
ag,180,ag
rg,70,rg
bt,180,bt
castillo,132,castillo
julio,184,julio
cathedral,402,cathedr
typographical,169,typograph
newsprint,161,newsprint
shortage,102,shortag
neighborhood,397,neighborhood
sikh,162,sikh
govt,84,govt
hooker,114,hooker
tucky,71,tucki
monaco,595,monaco
malaysian,266,malaysian
fowl,53,fowl
disastrous,133,disastr
prix,4738,prix
hairpin,110,hairpin
penalty,1878,penalti
indianapolis,1225,indianapoli
disqualification,62,disqualif
massa,330,massa
tyre,239,tyre
podium,356,podium
overshadowed,89,overshadow
senna,1068,senna
readd,60,readd
eagerly,36,eagerli
seal,772,seal
shrimp,91,shrimp
appomattox,84,appomattox
garth,155,garth
coli,190,coli
oriole,63,oriol
epsom,88,epsom
hirst,34,hirst
spur,68,spur
fortification,37,fortif
cubs,862,cub
curt,215,curt
vv,36,vv
piccadilly,43,piccadilli
postage,87,postag
brough,43,brough
dormant,51,dormant
cfm,248,cfm
ivy,204,ivi
mortars,108,mortar
deco,146,deco
unmanned,67,unman
terminus,78,terminu
fort,2634,fort
adobe,254,adob
jungle,235,jungl
trounce,29,trounc
senators,1283,senat
checkout,140,checkout
naughty,80,naughti
snake,509,snake
twilight,364,twilight
paranormal,73,paranorm
pagoda,49,pagoda
thief,107,thief
abbey,188,abbey
louvre,93,louvr
atlanta,2195,atlanta
vivid,32,vivid
preamble,100,preambl
dorm,30,dorm
berkowitz,59,berkowitz
airwaves,113,airwav
shawn,460,shawn
dent,140,dent
blah,784,blah
divorce,113,divorc
infrastructure,419,infrastructur
caretaker,94,caretak
jude,266,jude
perennial,73,perenni
incumbent,99,incumb
breadth,40,breadth
hum,31,hum
aug,1080,aug
idle,120,idl
subtropical,474,subtrop
gid,44,gid
mermaid,479,mermaid
diocesan,31,diocesan
volkswagen,180,volkswagen
downer,47,downer
piper,138,piper
trueman,528,trueman
balderdash,295,balderdash
piffle,288,piffl
trulli,261,trulli
coulthard,554,coulthard
ide,35,ide
jat,74,jat
airways,324,airway
alo,33,alo
mona,211,mona
liver,185,liver
triads,32,triad
bacterial,46,bacteri
acute,167,acut
pneumonia,103,pneumonia
congestion,43,congest
pulmonary,57,pulmonari
freeman,340,freeman
sonata,54,sonata
parade,546,parad
aguinaldo,31,aguinaldo
fletcher,178,fletcher
afb,1039,afb
wallops,36,wallop
zeus,184,zeu
prog,51,prog
syndrome,1470,syndrom
jericho,95,jericho
perpetrators,139,perpetr
wyoming,558,wyom
grocery,38,groceri
vastly,67,vastli
insect,117,insect
corn,227,corn
robbery,85,robberi
gail,392,gail
stampede,108,stamped
pesticide,50,pesticid
airfield,338,airfield
horseback,29,horseback
judicial,216,judici
bail,92,bail
kansas,3274,kansa
imminent,113,immin
barn,163,barn
detained,212,detain
paramilitary,112,paramilitari
platoon,319,platoon
horizontally,34,horizont
bench,383,bench
carved,43,carv
lantern,102,lantern
beforehand,97,beforehand
creep,60,creep
nous,48,nou
bananas,62,banana
suzanne,64,suzann
meritorious,82,meritori
carom,117,carom
smelly,27,smelli
zenith,35,zenith
bai,76,bai
deutschland,316,deutschland
orca,96,orca
camden,144,camden
enfield,57,enfield
greenwich,233,greenwich
hackney,296,hackney
fulham,61,fulham
harrow,48,harrow
kensington,44,kensington
thames,248,thame
merton,30,merton
westminster,336,westminst
mnemonic,35,mnemon
eleventh,741,eleventh
encore,75,encor
cosmos,46,cosmo
boer,106,boer
racecourse,122,racecours
teller,79,teller
copenhagen,231,copenhagen
muller,389,muller
frigate,54,frigat
basin,790,basin
rf,244,rf
reconnaissance,1003,reconnaiss
refurbished,46,refurbish
lambda,92,lambda
shore,400,shore
boeing,331,boe
commemorating,61,commemor
digger,26,digger
drab,32,drab
hornet,67,hornet
bombers,591,bomber
bong,104,bong
airmen,340,airmen
technicians,54,technician
voodoo,238,voodoo
overhead,95,overhead
assault,1119,assault
airlift,1029,airlift
sortie,31,sorti
outpost,56,outpost
cong,44,cong
tanker,117,tanker
auxiliary,67,auxiliari
wasps,28,wasp
blanche,74,blanch
gillies,27,gilli
flyers,971,flyer
amelia,127,amelia
airborne,1254,airborn
cargo,278,cargo
slade,66,slade
diddy,57,diddi
gettysburg,442,gettysburg
duck,1045,duck
flak,120,flak
expeditionary,849,expeditionari
meu,240,meu
gunners,56,gunner
cur,59,cur
hap,46,hap
milestones,92,mileston
deployed,2083,deploy
quack,42,quack
optimum,90,optimum
nutrition,245,nutrit
acne,53,acn
vale,128,vale
walt,580,walt
mosquito,128,mosquito
gator,370,gator
cypress,76,cypress
oakland,1570,oakland
prise,27,prise
unesco,42,unesco
pepsi,350,pepsi
rutherford,365,rutherford
tibet,574,tibet
wilderness,123,wilder
charitable,44,charit
versailles,306,versail
heron,94,heron
croydon,142,croydon
census,745,censu
windmill,156,windmil
kindergarten,41,kindergarten
quad,73,quad
pease,30,peas
snead,36,snead
pavement,28,pavement
aggressor,40,aggressor
caricature,41,caricatur
crustacean,175,crustacean
opium,165,opium
incandescent,144,incandesc
overtake,80,overtak
belfast,320,belfast
newark,163,newark
silva,374,silva
tourist,230,tourist
sherlock,111,sherlock
brig,88,brig
tiddly,2205,tiddli
microscopy,27,microscopi
bartlett,237,bartlett
buses,240,buse
racer,215,racer
cayman,84,cayman
avalanche,385,avalanch
mirage,65,mirag
swa,154,swa
lx,38,lx
cyclonic,136,cyclon
mala,32,mala
devonshire,264,devonshir
lindy,38,lindi
intrigued,27,intrigu
induce,32,induc
audacity,64,audac
libertarian,75,libertarian
centrist,32,centrist
ind,675,ind
schoolboy,42,schoolboy
josephine,60,josephin
nixon,397,nixon
batch,103,batch
bobo,101,bobo
disparity,34,dispar
rubbish,174,rubbish
apparatus,158,apparatu
recognizable,70,recogniz
schematic,27,schemat
firefighters,136,firefight
logistical,113,logist
sandman,107,sandman
montana,852,montana
forecast,315,forecast
golf,1163,golf
delivery,432,deliveri
gallows,30,gallow
aqua,134,aqua
mustang,366,mustang
hedges,56,hedg
tyler,597,tyler
regatta,33,regatta
striker,182,striker
condom,142,condom
consort,38,consort
macro,88,macro
nicky,113,nicki
piss,95,piss
maharaj,39,maharaj
rohan,49,rohan
singh,584,singh
homophobic,64,homophob
dusk,50,dusk
abigail,117,abigail
bod,85,bod
undecided,32,undecid
guernsey,28,guernsey
tra,68,tra
landfall,1667,landfal
booby,77,boobi
fra,161,fra
calibre,66,calibr
sputnik,76,sputnik
precarious,28,precari
simulation,71,simul
lemma,30,lemma
dragonfly,80,dragonfli
olympus,76,olympu
budget,497,budget
longitude,141,longitud
maneuver,160,maneuv
xd,1085,xd
baja,279,baja
fractal,37,fractal
ellipsis,27,ellipsi
convergent,38,converg
rigorous,61,rigor
archimedean,91,archimedean
postponed,239,postpon
euler,138,euler
evocative,126,evoc
annexation,67,annex
complementary,62,complementari
tailored,48,tailor
upwards,81,upward
collegiate,420,collegi
radix,49,radix
wildly,65,wildli
primate,50,primat
blizzard,256,blizzard
surreal,35,surreal
juggling,79,juggl
induction,153,induct
abruptly,69,abruptli
superscript,50,superscript
stealth,107,stealth
elegant,54,eleg
timeout,81,timeout
reread,38,reread
classmates,35,classmat
superfluous,58,superflu
machinery,93,machineri
circumference,32,circumfer
hijacked,45,hijack
kosher,45,kosher
unequal,33,unequ
glue,33,glue
wether,35,wether
torched,36,torch
masturbation,131,masturb
happier,41,happier
trickery,26,trickeri
gut,43,gut
biologist,47,biologist
proceeds,93,proce
versa,532,versa
provoke,70,provok
succeeds,41,succe
dialogue,262,dialogu
unsupported,100,unsupport
withstood,31,withstood
neighbourhood,110,neighbourhood
bach,152,bach
outset,55,outset
saddened,26,sadden
nerd,244,nerd
undue,152,undu
mammal,136,mammal
sect,51,sect
propaganda,689,propaganda
throat,85,throat
canuck,63,canuck
vocabulary,72,vocabulari
dunno,88,dunno
aristotle,307,aristotl
carpet,109,carpet
indirectly,92,indirectli
dominion,162,dominion
unfounded,98,unfound
undeniably,27,undeni
diploma,53,diploma
polemic,31,polem
fence,228,fenc
daft,42,daft
hexadecimal,45,hexadecim
ieee,130,ieee
explanatory,75,explanatori
tremendously,33,tremend
easiest,66,easiest
fuzzy,61,fuzzi
orthodoxy,32,orthodoxi
unqualified,36,unqualifi
obedience,42,obedi
skirts,148,skirt
onus,44,onu
convincingly,44,convincingli
archimedes,205,archimed
gibberish,81,gibberish
setbacks,26,setback
conviction,117,convict
someplace,39,someplac
discourse,93,discours
inequality,75,inequ
reprimanded,33,reprimand
downward,51,downward
iq,95,iq
rewrote,54,rewrot
pinpoint,26,pinpoint
heed,79,heed
yourselves,100,yourselv
smarter,61,smarter
slack,51,slack
entrenched,50,entrench
forbid,63,forbid
lazier,26,lazier
doubters,44,doubter
forcibly,77,forcibl
boldly,26,boldli
flawless,32,flawless
aha,27,aha
fruitless,27,fruitless
moi,245,moi
swallowed,28,swallow
bitter,208,bitter
pathetic,149,pathet
hotly,62,hotli
arse,55,ars
fuss,41,fuss
halfway,223,halfway
decidedly,69,decidedli
suspense,46,suspens
handbook,76,handbook
clerics,26,cleric
harmonic,68,harmon
zeta,261,zeta
rash,48,rash
rep,145,rep
unreal,79,unreal
fourier,43,fourier
contour,39,contour
rife,26,rife
crept,48,crept
pivotal,92,pivot
chiefly,89,chiefli
thrilled,35,thrill
salient,75,salient
outcry,33,outcri
unreliable,196,unreli
discern,43,discern
troublesome,46,troublesom
ts,285,ts
crux,27,crux
safer,74,safer
slick,87,slick
unspecified,69,unspecifi
fractured,64,fractur
lethe,27,leth
energetic,46,energet
chill,120,chill
variance,34,varianc
bloodshed,51,bloodsh
takers,41,taker
anxious,50,anxiou
counterproductive,32,counterproduct
exponent,27,expon
repercussions,40,repercuss
anarchy,119,anarchi
careless,43,careless
placement,202,placement
eq,63,eq
amalgamation,64,amalgam
kin,59,kin
err,57,err
dug,130,dug
beer,839,beer
simplistic,42,simplist
vent,82,vent
simeon,28,simeon
referential,26,referenti
cyclic,95,cyclic
utter,157,utter
thirdly,51,thirdli
unchanged,186,unchang
cracked,76,crack
deduction,296,deduct
nineteenth,574,nineteenth
juvenile,176,juvenil
summarily,47,summarili
hypothetical,61,hypothet
sequentially,33,sequenti
singleton,68,singleton
boasting,26,boast
grass,350,grass
intricate,38,intric
bloody,383,bloodi
cigar,81,cigar
entropy,89,entropi
adder,27,adder
bundled,27,bundl
pals,39,pal
tennis,2102,tenni
unaccounted,28,unaccount
downfall,70,downfal
zen,130,zen
gateway,231,gateway
dull,51,dull
atta,42,atta
strung,28,strung
ditto,93,ditto
ix,237,ix
luxury,119,luxuri
burst,213,burst
bedroom,76,bedroom
disservice,29,disservic
shrink,45,shrink
turing,52,ture
whereby,95,wherebi
superb,135,superb
dogma,42,dogma
willingness,86,willing
unimportant,62,unimport
blasphemy,33,blasphemi
dt,118,dt
celestial,76,celesti
redefinition,27,redefinit
lopsided,71,lopsid
curtain,113,curtain
bent,127,bent
nonexistent,51,nonexist
uninformed,44,uninform
astonishing,43,astonish
mute,46,mute
overwhelmingly,48,overwhelmingli
obstacle,69,obstacl
extraterrestrial,129,extraterrestri
sneeze,37,sneez
amplitude,77,amplitud
centauri,26,centauri
tortoise,54,tortois
lest,77,lest
ooh,50,ooh
agenda,381,agenda
litres,60,litr
donuts,36,donut
manifolds,36,manifold
intangible,107,intang
ineligible,279,inelig
reliant,94,reliant
eclipsing,26,eclips
plethora,34,plethora
literacy,68,literaci
autistic,35,autist
sketchy,30,sketchi
caliber,304,calib
doctrine,364,doctrin
plausible,83,plausibl
unbroken,31,unbroken
incentive,44,incent
tolstoy,32,tolstoy
obey,80,obey
wich,59,wich
aint,44,aint
shouldnt,39,shouldnt
unsolved,43,unsolv
costa,908,costa
wildlife,155,wildlif
ravine,35,ravin
frog,431,frog
lincoln,2910,lincoln
ritter,77,ritter
canyon,391,canyon
idaho,462,idaho
canberra,549,canberra
azores,135,azor
breakfast,265,breakfast
mae,103,mae
chewing,103,chew
ceiling,120,ceil
pegasus,150,pegasu
unwritten,29,unwritten
scrum,44,scrum
porter,250,porter
ck,796,ck
jewel,85,jewel
baxter,147,baxter
amphibious,232,amphibi
portland,707,portland
undisclosed,63,undisclos
hertfordshire,102,hertfordshir
lat,62,lat
rufus,80,rufu
haute,64,haut
chassis,360,chassi
fog,164,fog
redwood,48,redwood
lavender,40,lavend
dodgers,827,dodger
pitcher,954,pitcher
vin,106,vin
inning,1843,inning
pasta,96,pasta
submarine,341,submarin
seaman,51,seaman
filename,77,filenam
afghanistan,1445,afghanistan
pfc,61,pfc
cottonwood,28,cottonwood
cot,34,cot
jameson,104,jameson
tai,155,tai
lutheran,183,lutheran
alhambra,32,alhambra
loco,40,loco
livery,107,liveri
nr,375,nr
devon,180,devon
snapper,59,snapper
dyke,100,dyke
immunity,64,immun
fabian,115,fabian
biennial,138,biennial
sprung,29,sprung
ef,59,ef
brooklyn,944,brooklyn
panorama,142,panorama
pyongyang,49,pyongyang
cocos,79,coco
cedar,226,cedar
gables,28,gabl
manhattan,726,manhattan
bp,229,bp
lithuanian,222,lithuanian
kam,26,kam
beard,458,beard
candle,92,candl
vishnu,55,vishnu
bali,224,bali
basilica,61,basilica
qid,29,qid
shri,28,shri
marg,86,marg
mist,58,mist
illuminated,59,illumin
powder,220,powder
paperback,64,paperback
tate,157,tate
stonehenge,153,stoneheng
shah,356,shah
ulster,162,ulster
outskirts,89,outskirt
waldorf,64,waldorf
vintage,80,vintag
stereoscopic,41,stereoscop
soccer,1559,soccer
heraldry,131,heraldri
austrian,496,austrian
garibaldi,37,garibaldi
bambino,26,bambino
thursday,836,thursday
tigris,48,tigri
ceylon,34,ceylon
butch,144,butch
gigantic,46,gigant
northbound,84,northbound
deli,437,deli
pseudomonas,798,pseudomona
champ,524,champ
downhill,376,downhil
espionage,95,espionag
stroud,48,stroud
bisexual,213,bisexu
chih,29,chih
heavyweight,104,heavyweight
hague,76,hagu
quark,36,quark
macclesfield,26,macclesfield
eco,113,eco
leeward,108,leeward
recycling,132,recycl
microwave,143,microwav
prolog,1125,prolog
turtle,450,turtl
acroterion,1274,acroterion
shikari,27,shikari
chico,130,chico
thorpe,224,thorp
fisk,104,fisk
nam,69,nam
infants,32,infant
tiffin,44,tiffin
montage,36,montag
shrewsbury,98,shrewsburi
cruelty,126,cruelti
lancer,110,lancer
blume,44,blume
rover,278,rover
gs,108,gs
rainier,46,rainier
gent,177,gent
speedway,2202,speedway
ronde,194,rond
gundy,27,gundi
booker,206,booker
beggars,26,beggar
banquet,63,banquet
dominican,589,dominican
baguio,37,baguio
gallant,63,gallant
plaque,98,plaqu
tat,337,tat
depots,71,depot
renumbered,75,renumb
cope,294,cope
buildup,50,buildup
pike,156,pike
sw,157,sw
residential,279,residenti
fatigue,113,fatigu
bangkok,407,bangkok
siam,40,siam
guam,396,guam
lst,42,lst
wallpaper,46,wallpap
clearance,87,clearanc
partnership,527,partnership
nato,935,nato
subway,794,subway
peruvian,115,peruvian
cruiser,77,cruiser
mural,36,mural
moroccan,91,moroccan
lieutenant,881,lieuten
multinational,103,multin
detachment,425,detach
malay,99,malay
debris,223,debri
inbound,29,inbound
pembroke,72,pembrok
nighthawk,26,nighthawk
cpl,180,cpl
wagner,307,wagner
interstate,340,interst
arkansas,1572,arkansa
shawnee,45,shawne
felis,180,feli
borneo,94,borneo
muzzle,135,muzzl
humid,40,humid
endangered,167,endang
deforestation,217,deforest
erosion,205,eros
solitary,58,solitari
bengal,422,bengal
keepers,31,keeper
tay,119,tay
cabot,290,cabot
carriage,245,carriag
buffs,30,buff
electrification,28,electrif
titanium,168,titanium
carmen,212,carmen
ginny,35,ginni
draco,62,draco
ike,75,ike
lens,197,len
toad,174,toad
mushroom,2419,mushroom
lister,65,lister
brawl,239,brawl
diver,66,diver
abel,127,abel
sultan,168,sultan
wreckage,91,wreckag
motel,34,motel
aftermath,432,aftermath
youngsters,45,youngster
droit,76,droit
filler,46,filler
qui,181,qui
crab,316,crab
theodore,377,theodor
coney,40,coney
pollard,103,pollard
monarch,273,monarch
marist,172,marist
crossroads,78,crossroad
requisite,28,requisit
khmer,94,khmer
pacifist,29,pacifist
casa,53,casa
painter,187,painter
torchwood,54,torchwood
spoof,43,spoof
bodily,40,bodili
wicked,94,wick
costumes,90,costum
dom,232,dom
santiago,408,santiago
jaguar,223,jaguar
jacksonville,513,jacksonvil
jasmine,59,jasmin
cairns,1718,cairn
stouter,531,stouter
gentle,58,gentl
tidal,167,tidal
tides,80,tide
kinetic,115,kinet
funnel,40,funnel
intermittent,35,intermitt
salinity,32,salin
eruption,236,erupt
clare,112,clare
typhoon,2372,typhoon
farley,92,farley
granger,100,granger
invest,295,invest
legacy,211,legaci
lacrosse,582,lacross
pathfinder,41,pathfind
scion,27,scion
outback,115,outback
avalon,67,avalon
mime,75,mime
stade,158,stade
watercolor,30,watercolor
lisbon,199,lisbon
ingredient,45,ingredi
malta,507,malta
stratosphere,33,stratospher
chevy,108,chevi
tilly,31,tilli
rgen,65,rgen
clint,194,clint
probe,215,probe
pasadena,171,pasadena
onboard,55,onboard
tucson,77,tucson
taipei,366,taipei
crane,196,crane
contamination,117,contamin
foam,59,foam
dayton,184,dayton
violet,121,violet
eden,153,eden
wheelchair,165,wheelchair
ventilation,43,ventil
exterior,109,exterior
ritz,32,ritz
munich,367,munich
mordecai,101,mordecai
calvin,1647,calvin
cove,129,cove
zona,27,zona
giro,320,giro
normandy,573,normandi
altitude,232,altitud
afghan,414,afghan
hiroshima,269,hiroshima
dresden,97,dresden
westland,26,westland
lynx,125,lynx
slate,76,slate
kiel,45,kiel
adjoining,54,adjoin
bud,275,bud
dye,145,dye
calcium,250,calcium
coalition,816,coalit
weymouth,62,weymouth
tornado,1192,tornado
outbreak,712,outbreak
charger,94,charger
chandler,232,chandler
portage,60,portag
kettle,64,kettl
flown,284,flown
okinawa,364,okinawa
judo,202,judo
provost,47,provost
sen,171,sen
quartz,45,quartz
aeronautics,47,aeronaut
aluminum,96,aluminum
freshwater,48,freshwat
anus,80,anu
vascular,52,vascular
excretory,68,excretori
diffusion,86,diffus
hermaphrodite,40,hermaphrodit
membrane,126,membran
sperm,141,sperm
tract,122,tract
aperture,32,apertur
mangrove,60,mangrov
cambrian,42,cambrian
precambrian,28,precambrian
tertiary,106,tertiari
fossilised,155,fossilis
primitive,136,primit
abdomen,33,abdomen
intertidal,35,intertid
median,67,median
groove,81,groov
moray,34,moray
emery,81,emeri
mosaic,326,mosaic
yr,62,yr
ritual,68,ritual
brewster,74,brewster
xc,395,xc
compass,119,compass
lidia,32,lidia
oca,96,oca
rosicrucian,31,rosicrucian
tut,29,tut
prudential,37,prudenti
spire,37,spire
northeast,1430,northeast
freeway,107,freeway
lakeshore,67,lakeshor
torn,171,torn
monica,294,monica
penis,536,peni
popularly,77,popularli
joyce,186,joyc
fresco,623,fresco
methodist,147,methodist
guerrilla,186,guerrilla
procurement,30,procur
regrouped,31,regroup
protracted,33,protract
tweed,57,tweed
deportation,42,deport
ghetto,170,ghetto
rhine,372,rhine
spa,250,spa
petrol,209,petrol
plainfield,58,plainfield
