,FRENCH,ENGLISH,THEME,IMPORTANT,ENGLISH_nopunct,ENGLISH_noswords,ENGLISH_stem,FRENCH_nopunct,FRENCH_noswords,FRENCH_stem
6196,un saumon,a salmon,animaux aquatiques,,a salmon,salmon,salmon,un saumon,saumon,saumon
6197,un thon,a tuna,animaux aquatiques,,a tuna,tuna,tuna,un thon,thon,thon
6198,un thon rouge,a bluefin tune,animaux aquatiques,,a bluefin tune,bluefin tune,bluefin tun,un thon rouge,thon rouge,thon roug
6199,une algue,seaweed,animaux aquatiques,,seaweed,seaweed,seawe,une algue,algue,algu
6200,une algue géante,kelp,animaux aquatiques,,kelp,kelp,kelp,une algue géante,algue géante,algue géant
6201,une anémone de mer,a sea anemone,animaux aquatiques,,a sea anemone,anemone,anemon,une anémone de mer,anémone mer,anémone m
6202,une anguille,an eel,animaux aquatiques,,an eel,eel,eel,une anguille,anguille,anguil
6203,une baleine,a whale,animaux aquatiques,,a whale,whale,whale,une baleine,baleine,balein
6204,une baleine à bosse,a humpback whale,animaux aquatiques,,a humpback whale,humpback whale,humpback whal,une baleine à bosse,baleine bosse,baleine boss
6205,une bonite,a bonito,animaux aquatiques,,a bonito,bonito,bonito,une bonite,bonite,bonit
6206,une coquille saint-jaque,a scallop,animaux aquatiques,,a scallop,scallop,scallop,une coquille saintjaque,coquille saintjaque,coquille saintjaqu
6207,une crevette,a shrimp/ a prawn,animaux aquatiques,,a shrimp a prawn,shrimp prawn,shrimp prawn,une crevette,crevette,crevett
6208,une écrevisse,a crawfish,animaux aquatiques,,a crawfish,crawfish,crawfish,une écrevisse,écrevisse,écreviss
6209,une étoile de mer,a starfish,animaux aquatiques,,a starfish,starfish,starfish,une étoile de mer,étoile mer,étoile m
6210,une huître,an oyster,animaux aquatiques,,an oyster,oyster,oyster,une huître,huître,huîtr
6211,une méduse,a jellyfish,animaux aquatiques,,a jellyfish,jellyfish,jellyfish,une méduse,méduse,méduse
6212,une morue,a cod,animaux aquatiques,,a cod,cod,cod,une morue,morue,moru
6213,une moule,a mussel,animaux aquatiques,,a mussel,mussel,mussel,une moule,moule,moul
6214,une murène,a moray eel,animaux aquatiques,,a moray eel,moray eel,moray eel,une murène,murène,murèn
6215,une palourde,a clam,animaux aquatiques,,a clam,clam,clam,une palourde,palourde,palourd
6216,une raie,a stingray,animaux aquatiques,,a stingray,stingray,stingray,une raie,raie,raie
6217,une raie manta,a manta ray,animaux aquatiques,,a manta ray,manta ray,manta ray,une raie manta,raie manta,raie manta
6218,une seiche,a cuttlefish,animaux aquatiques,,a cuttlefish,cuttlefish,cuttlefish,une seiche,seiche,seich
6219,une tortue de mer,a sea turtle,animaux aquatiques,,a sea turtle,turtle,turtl,une tortue de mer,tortue mer,tortue m
6220,une truite,a trout,animaux aquatiques,,a trout,trout,trout,une truite,truite,truit
6221,une abeille,a bee,animaux aquatiques,,a bee,bee,bee,une abeille,abeille,abeil
6222,de l’anti-insecte/anti-moustique,insect repellent,les insectes en complete,,insect repellent,insect repellent,insect repel,de l’antiinsecteantimoustique,’ antiinsecteantimoustique,’ antiinsecteantimoustiqu
6223,des poux,lice,les insectes en complete,,lice,lice,lice,des poux,poux,poux
6224,un nid d’abeille,a honeycomb,les insectes en complete,,a honeycomb,honeycomb,honeycomb,un nid d’abeille,nid ’ abeille,nid ’ abeil
6225,un bourdon,a bumble-bee,les insectes en complete,,a bumblebee,bumblebee,bumblebe,un bourdon,bourdon,bourdon
6226,un cafard,a cockroach,les insectes en complete,,a cockroach,cockroach,cockroach,un cafard,cafard,cafard
6227,un cocon,a cocoon,les insectes en complete,,a cocoon,cocoon,cocoon,un cocon,cocon,cocon
6228,un escargot,a snail,les insectes en complete,,a snail,snail,snail,un escargot,escargot,escargot
6229,un frelon,a hornet,les insectes en complete,,a hornet,hornet,hornet,un frelon,frelon,frelon
6230,un grillon,a cricket,les insectes en complete,,a cricket,cricket,cricket,un grillon,grillon,grillon
6231,un hanneton,a cockchafer,les insectes en complete,,a cockchafer,cockchafer,cockchaf,un hanneton,hanneton,hanneton
6232,un mille-pattes,a millipede/a centipede,les insectes en complete,,a millipedea centipede,millipedea centipede,millipedea centiped,un millepattes,millepattes,millepatt
6233,un moucheron,a gnat,les insectes en complete,,a gnat,gnat,gnat,un moucheron,moucheron,moucheron
6234,un moustique,a mosquito,les insectes en complete,,a mosquito,mosquito,mosquito,un moustique,moustique,moustiqu
6235,un papillon,a butterfly,les insectes en complete,,a butterfly,butterfly,butterfli,un papillon,papillon,papillon
6236,un papillon de nuit,a moth,les insectes en complete,,a moth,moth,moth,un papillon de nuit,papillon nuit,papillon nuit
6237,un perce-oreille,an earwig,les insectes en complete,,an earwig,earwig,earwig,un perceoreille,perceoreille,perceoreil
6238,un phasme,a stick insect,les insectes en complete,,a stick insect,stick insect,stick insect,un phasme,phasme,phasm
6239,un scarabée,a beetle,les insectes en complete,,a beetle,beetle,beetl,un scarabée,scarabée,scarabé
6240,un scorpion,a scorpion,les insectes en complete,,a scorpion,scorpion,scorpion,un scorpion,scorpion,scorpion
6241,un taon,a horsefly,les insectes en complete,,a horsefly,horsefly,horsefli,un taon,taon,taon
6242,un termite,a termite,les insectes en complete,,a termite,termite,termit,un termite,termite,termit
6243,un ver/un asticot,a maggot,les insectes en complete,,a maggot,maggot,maggot,un verun asticot,verun asticot,verun asticot
6244,une araignée,a spider,les insectes en complete,,a spider,spider,spider,une araignée,araignée,araigné
6245,une chenille,a caterpillar,les insectes en complete,,a caterpillar,caterpillar,caterpillar,une chenille,chenille,chenil
6246,une cigale,a cicada,les insectes en complete,,a cicada,cicada,cicada,une cigale,cigale,cigal
6247,une coccinelle,a ladybird,les insectes en complete,,a ladybird,ladybird,ladybird,une coccinelle,coccinelle,coccinel
6248,une fourmi,an ant,les insectes en complete,,an ant,ant,ant,une fourmi,fourmi,fourmi
6249,une guêpe,a wasp,les insectes en complete,,a wasp,wasp,wasp,une guêpe,guêpe,guêp
6250,une libellule,a dragonfly,les insectes en complete,,a dragonfly,dragonfly,dragonfli,une libellule,libellule,libellul
6251,une limace,a slug,les insectes en complete,,a slug,slug,slug,une limace,limace,limac
6252,une luciole/des lucioles,a firefly/fireflies (pl.),les insectes en complete,,a fireflyfireflies pl,fireflyfireflies pl,fireflyfireflies pl,une lucioledes lucioles,lucioledes lucioles,lucioledes luciol
6253,une mante religieuse,a praying mantis,les insectes en complete,,a praying mantis,praying mantis,praying manti,une mante religieuse,mante religieuse,mante religieus
6254,une mite,a clothes moth,les insectes en complete,,a clothes moth,clothes moth,clothes moth,une mite,mite,mite
6255,une mouche,a fly,les insectes en complete,,a fly,fly,fli,une mouche,mouche,mouch
6256,une piqûre d’insecte,an insect bite,les insectes en complete,,an insect bite,insect bite,insect bit,une piqûre d’insecte,piqûre ’ insecte,piqûre ’ insect
6257,une puce,a flea,les insectes en complete,,a flea,flea,flea,une puce,puce,puce
6258,une punaise,a bug,les insectes en complete,,a bug,bug,bug,une punaise,punaise,punais
6259,une ruche,a bee hive,les insectes en complete,,a bee hive,bee hive,bee hiv,une ruche,ruche,ruch
6260,une sauterelle/un criquet,a grasshopper/a locust,les insectes en complete,,a grasshoppera locust,grasshoppera locust,grasshoppera locust,une sauterelleun criquet,sauterelleun criquet,sauterelleun criquet
6261,une tique,a tick,les insectes en complete,,a tick,tick,tick,une tique,tique,tiqu
6262,une toile d’araignée,a spider web,les insectes en complete,,a spider web,spider web,spider web,une toile d’araignée,toile ’ araignée,toile ’ araigné
6263,un albatros,an albatross,les insectes en complete,,an albatross,albatross,albatross,un albatros,albatros,albatro
6264,un oiseau de proie,a bird of prey,les oiseaux,,a bird of prey,bird prey,bird prey,un oiseau de proie,oiseau proie,oiseau proi
6265,un aigle,an eagle,les oiseaux,,an eagle,eagle,eagl,un aigle,aigle,aigl
6266,un balbuzard,an osprey,les oiseaux,,an osprey,osprey,osprey,un balbuzard,balbuzard,balbuzard
6267,un cacatoès,a cockatoo,les oiseaux,,a cockatoo,cockatoo,cockatoo,un cacatoès,cacatoès,cacatoè
6268,un colibri,a hummingbird,les oiseaux,,a hummingbird,hummingbird,hummingbird,un colibri,colibri,colibri
6269,un coq,a cock/a rooster,les oiseaux,,a cocka rooster,cocka rooster,cocka roost,un coq,coq,coq
6270,un corbeau,a crow/a raven,les oiseaux,,a crowa raven,crowa raven,crowa raven,un corbeau,corbeau,corbeau
6271,un cormoran,a cormorant,les oiseaux,,a cormorant,cormorant,cormor,un cormoran,cormoran,cormoran
6272,un coucou,a cuckoo,les oiseaux,,a cuckoo,cuckoo,cuckoo,un coucou,coucou,coucou
6273,un crécerelle (faucon),a kestrel,les oiseaux,,a kestrel,kestrel,kestrel,un crécerelle faucon,crécerelle faucon,crécerelle faucon
6274,un échassier,a wader,les oiseaux,,a wader,wader,wader,un échassier,échassier,échassier
6275,un épervier,a sparrowhawk,les oiseaux,,a sparrowhawk,sparrowhawk,sparrowhawk,un épervier,épervier,épervier
6276,un faisan,a pheasant,les oiseaux,,a pheasant,pheasant,pheasant,un faisan,faisan,faisan
6277,un faucon,a falcon/an hawk,les oiseaux,,a falconan hawk,falconan hawk,falconan hawk,un faucon,faucon,faucon
6278,un flamand rose,a pink flamingo,les oiseaux,,a pink flamingo,pink flamingo,pink flamingo,un flamand rose,flamand rose,flamand ros
6279,un geai,a jay,les oiseaux,,a jay,jay,jay,un geai,geai,geai
6280,un héron,a heron,les oiseaux,,a heron,heron,heron,un héron,héron,héron
6281,un ibis,an ibis,les oiseaux,,an ibis,ibis,ibi,un ibis,ibis,ibi
6282,un kiwi,a kiwi,les oiseaux,,a kiwi,kiwi,kiwi,un kiwi,kiwi,kiwi
6283,un martin-pêcheur,a kingfisher,les oiseaux,,a kingfisher,kingfisher,kingfish,un martinpêcheur,martinpêcheur,martinpêcheur
6284,un moineau,a sparrow,les oiseaux,,a sparrow,sparrow,sparrow,un moineau,moineau,moineau
6285,un pélican,a pelican,les oiseaux,,a pelican,pelican,pelican,un pélican,pélican,pélican
6286,un pétrel,a petrel,les oiseaux,,a petrel,petrel,petrel,un pétrel,pétrel,pétrel
6287,un pic,a woodpecker,les oiseaux,,a woodpecker,woodpecker,woodpeck,un pic,,
6288,un pigeon,a pigeon,les oiseaux,,a pigeon,pigeon,pigeon,un pigeon,pigeon,pigeon
6289,un rouge-gorge,a robin,les oiseaux,,a robin,robin,robin,un rougegorge,rougegorge,rougegorg
6290,un toucan,a toucan,les oiseaux,,a toucan,toucan,toucan,un toucan,toucan,toucan
6291,une aigrette,an egret,les oiseaux,,an egret,egret,egret,une aigrette,aigrette,aigrett
6292,une caille,a quail,les oiseaux,,a quail,quail,quail,une caille,caille,caill
6293,une cigogne,a stork,les oiseaux,,a stork,stork,stork,une cigogne,cigogne,cigogn
6294,une colombe,a dove,les oiseaux,,a dove,,,une colombe,colombe,colomb
6295,une grue,a crane,les oiseaux,,a crane,crane,crane,une grue,grue,grue
6296,une hirondelle,a swallow,les oiseaux,,a swallow,swallow,swallow,une hirondelle,hirondelle,hirondel
6297,une mésange,a titmouse/a bluetit,les oiseaux,,a titmousea bluetit,titmousea bluetit,titmousea bluetit,une mésange,mésange,mésang
6298,une mouette,a gull/a seagull,les oiseaux,,a gulla seagull,gulla seagull,gulla seagul,une mouette,mouette,mouett
6299,une mouette/un goéland,a seagull,les oiseaux,,a seagull,seagull,seagul,une mouetteun goéland,mouetteun goéland,mouetteun goéland
6300,une oie,a goose,les oiseaux,,a goose,goose,goos,une oie,oie,oie
6301,des oies,geese,les oiseaux,,geese,geese,gees,des oies,oies,oie
6302,une perdrix,a partridge,les oiseaux,,a partridge,partridge,partridg,une perdrix,perdrix,perdrix
6303,une pie,a magpie,les oiseaux,,a magpie,magpie,magpi,une pie,pie,pie
6304,lundi,monday,les oiseaux,,monday,monday,monday,lundi,lundi,lundi
6305,mardi,tuesday,jours mois saisons,,tuesday,tuesday,tuesday,mardi,mardi,mardi
6306,mercredi,wednesday,jours mois saisons,,wednesday,wednesday,wednesday,mercredi,mercredi,mercredi
6307,jeudi,thursday,jours mois saisons,,thursday,thursday,thursday,jeudi,jeudi,jeudi
6308,vendredi,friday,jours mois saisons,,friday,friday,friday,vendredi,vendredi,vendredi
6309,samedi,saturday,jours mois saisons,,saturday,saturday,saturday,samedi,samedi,samedi
6310,dimanche,sunday,jours mois saisons,,sunday,sunday,sunday,dimanche,dimanche,dimanch
6311,janvier,january,jours mois saisons,,january,january,januari,janvier,janvier,janvier
6312,février,february,jours mois saisons,,february,february,februari,février,février,février
6313,mars,march,jours mois saisons,,march,march,march,mars,mars,mar
6314,avril,april,jours mois saisons,,april,april,april,avril,avril,avril
6315,mai,may,jours mois saisons,,may,may,may,mai,,
6316,juin,june,jours mois saisons,,june,june,june,juin,juin,juin
6317,juillet,july,jours mois saisons,,july,july,juli,juillet,juillet,juillet
6318,août,august,jours mois saisons,,august,august,august,août,août,août
6319,septembre,september,jours mois saisons,,september,september,septemb,septembre,septembre,septembr
6320,octobre,october,jours mois saisons,,october,october,octob,octobre,octobre,octobr
6321,novembre,november,jours mois saisons,,november,november,novemb,novembre,novembre,novembr
6322,décembre,december,jours mois saisons,,december,december,decemb,décembre,décembre,décembr
6323,un acheteur,a buyer,jours mois saisons,,a buyer,buyer,buyer,un acheteur,acheteur,acheteur
6324,un acteur,an actor,metiers professions,,an actor,actor,actor,un acteur,acteur,acteur
6325,"un agent de bord, un stewart",a flight attendant,metiers professions,,a flight attendant,flight attendant,flight attend,un agent de bord un stewart,agent bord stewart,agent bord stewart
6326,un agent de sécurité,a security guard,metiers professions,,a security guard,security guard,security guard,un agent de sécurité,agent sécurité,agent sécurité
6327,un agent de voyage,a travel agent,metiers professions,,a travel agent,travel agent,travel ag,un agent de voyage,agent voyage,agent voyag
6328,"un agent des douanes, un douanier",a customs officer,metiers professions,,a customs officer,customs officer,customs offic,un agent des douanes un douanier,agent douanes douanier,agent douanes douani
6329,un agent immobilier,an estate agent,metiers professions,,an estate agent,estate agent,estate ag,un agent immobilier,agent immobilier,agent immobili
6330,un ambulancier,an ambulance driver,metiers professions,,an ambulance driver,ambulance driver,ambulance driv,un ambulancier,ambulancier,ambulanci
6331,un apiculteur,a beekeeper / an apiarist,metiers professions,,a beekeeper  an apiarist,beekeeper apiarist,beekeeper apiarist,un apiculteur,apiculteur,apiculteur
6332,un architecte,an architect,metiers professions,,an architect,architect,architect,un architecte,architecte,architect
6333,un artiste,an artist,metiers professions,,an artist,artist,artist,un artiste,artiste,artist
6334,un barman,"a barman, a bartender",metiers professions,,a barman a bartender,barman bartender,barman bartend,un barman,barman,barman
6335,un bibliothécaire,a librarian,metiers professions,,a librarian,librarian,librarian,un bibliothécaire,bibliothécaire,bibliothécair
6336,un boucher,a butcher,metiers professions,,a butcher,butcher,butcher,un boucher,boucher,boucher
6337,un boulanger,a baker,metiers professions,,a baker,baker,baker,un boulanger,boulanger,boulang
6338,un bûcheron,a lumberjack,metiers professions,,a lumberjack,lumberjack,lumberjack,un bûcheron,bûcheron,bûcheron
6339,"un caissier, une caissière",a cashier,metiers professions,,a cashier,cashier,cashier,un caissier une caissière,caissier caissière,caissier caissièr
6340,un cameraman,a cameraman,metiers professions,,a cameraman,cameraman,cameraman,un cameraman,cameraman,cameraman
6341,un carreleur,a tiler,metiers professions,,a tiler,tiler,tiler,un carreleur,carreleur,carreleur
6342,un chanteur,a singer,metiers professions,,a singer,singer,singer,un chanteur,chanteur,chanteur
6343,"un charpentier, un menuisier","a carpenter, a joiner",metiers professions,,a carpenter a joiner,carpenter joiner,carpenter join,un charpentier un menuisier,charpentier menuisier,charpentier menuisi
6344,un chauffeur de bus,a bus driver,metiers professions,,a bus driver,bus driver,bus driv,un chauffeur de bus,chauffeur bus,chauffeur bu
6345,"un chauffeur de camion, un chauffeur routier",a truck driver,metiers professions,,a truck driver,truck driver,truck driv,un chauffeur de camion un chauffeur routier,chauffeur camion chauffeur routier,chauffeur camion chauffeur routi
6346,"un chauffeur de camion, un routier",a lorry driver,metiers professions,,a lorry driver,lorry driver,lorry driv,un chauffeur de camion un routier,chauffeur camion routier,chauffeur camion routi
6347,un chauffeur de taxi,a taxi driver,metiers professions,,a taxi driver,taxi driver,taxi driv,un chauffeur de taxi,chauffeur taxi,chauffeur taxi
6348,un chef d’entreprise,a company manager,metiers professions,,a company manager,company manager,company manag,un chef d’entreprise,chef ’ entreprise,chef ’ entrepris
6349,un chef de cuisine,a chef,metiers professions,,a chef,chef,chef,un chef de cuisine,chef cuisine,chef cuisin
6350,un cheminot,"a railway man, railroad man",metiers professions,,a railway man railroad man,railway railroad,railway railroad,un cheminot,cheminot,cheminot
6351,un chercheur,a researcher,metiers professions,,a researcher,researcher,research,un chercheur,chercheur,chercheur
6352,un chirurgien,a surgeon,metiers professions,,a surgeon,surgeon,surgeon,un chirurgien,chirurgien,chirurgien
6353,un commerçant,a shop keeper,metiers professions,,a shop keeper,shop keeper,shop keep,un commerçant,commerçant,commerç
6354,un commercial,a sales and marketing person,metiers professions,,a sales and marketing person,sales marketing person,sales marketing person,un commercial,commercial,commerci
6355,un commis en cuisine,a kitchenhand,metiers professions,,a kitchenhand,kitchenhand,kitchenhand,un commis en cuisine,commis cuisine,commis cuisin
6356,un comptable,an accountant,metiers professions,,an accountant,accountant,account,un comptable,comptable,comptabl
6357,un concierge,a concierge,metiers professions,,a concierge,concierge,concierg,un concierge,concierge,concierg
6358,"un conducteur, un chauffeur",a driver,metiers professions,,a driver,driver,driver,un conducteur un chauffeur,conducteur chauffeur,conducteur chauffeur
6359,un conseiller,an adviser,metiers professions,,an adviser,adviser,advis,un conseiller,conseiller,conseil
6360,un cuisinier,a cook,metiers professions,,a cook,cook,cook,un cuisinier,cuisinier,cuisini
6361,un danseur,a dancer,metiers professions,,a dancer,dancer,dancer,un danseur,danseur,danseur
6362,un déménageur,a furniture mover,metiers professions,,a furniture mover,furniture mover,furniture mov,un déménageur,déménageur,déménageur
6363,un dentiste,a dentist,metiers professions,,a dentist,dentist,dentist,un dentiste,dentiste,dentist
6364,un dessinateur industriel,an industrial designer,metiers professions,,an industrial designer,industrial designer,industrial design,un dessinateur industriel,dessinateur industriel,dessinateur industriel
6365,un détaillant,a retailer,metiers professions,,a retailer,retailer,retail,un détaillant,détaillant,détaillant
6366,"un développeur, un promoteur",a developer,metiers professions,,a developer,developer,develop,un développeur un promoteur,développeur promoteur,développeur promoteur
6367,un ébéniste,a cabinet maker,metiers professions,,a cabinet maker,cabinet maker,cabinet mak,un ébéniste,ébéniste,ébénist
6368,un éboueur,"a dustman, a garbageman",metiers professions,,a dustman a garbageman,dustman garbageman,dustman garbageman,un éboueur,éboueur,éboueur
6369,un écrivain,a writer,metiers professions,,a writer,writer,writer,un écrivain,écrivain,écrivain
6370,un éditeur,a publisher,metiers professions,,a publisher,publisher,publish,un éditeur,éditeur,éditeur
6371,un électricien,an electrician,metiers professions,,an electrician,electrician,electrician,un électricien,électricien,électricien
6372,"un enseignant, un professeur",a teacher,metiers professions,,a teacher,teacher,teacher,un enseignant un professeur,enseignant professeur,enseignant professeur
6373,un entrepreneur,a contractor,metiers professions,,a contractor,contractor,contractor,un entrepreneur,entrepreneur,entrepreneur
6374,un facteur,a postman,metiers professions,,a postman,postman,postman,un facteur,facteur,facteur
6375,"un fermier, un agriculteur",a farmer,metiers professions,,a farmer,farmer,farmer,un fermier un agriculteur,fermier agriculteur,fermier agriculteur
6376,un fleuriste,a florist,metiers professions,,a florist,florist,florist,un fleuriste,fleuriste,fleurist
6377,"un gérant, un directeur",a manager,metiers professions,,a manager,manager,manag,un gérant un directeur,gérant directeur,gérant directeur
6378,un grossiste,a wholesaler,metiers professions,,a wholesaler,wholesaler,wholesal,un grossiste,grossiste,grossist
6379,"un infirmier, une infirmière",a nurse,metiers professions,,a nurse,nurse,nurs,un infirmier une infirmière,infirmier infirmière,infirmier infirmièr
6380,un ingénieur,an engineer,metiers professions,,an engineer,engineer,engin,un ingénieur,ingénieur,ingénieur
6381,un jardinier,a gardener,metiers professions,,a gardener,gardener,garden,un jardinier,jardinier,jardini
6382,"un joaillier, un bijoutier",a jeweller,metiers professions,,a jeweller,jeweller,jewel,un joaillier un bijoutier,joaillier bijoutier,joaillier bijouti
6383,un journaliste,a journalist,metiers professions,,a journalist,journalist,journalist,un journaliste,journaliste,journalist
6384,un juge,a judge,metiers professions,,a judge,judge,judg,un juge,juge,juge
6385,un kinésithérapeute,a physiotherapist,metiers professions,,a physiotherapist,physiotherapist,physiotherapist,un kinésithérapeute,kinésithérapeute,kinésithérapeut
6386,un libraire,a bookseller,metiers professions,,a bookseller,bookseller,booksel,un libraire,libraire,librair
6387,"un livreur, un chauffeur de livraison","a delivery-man, a delivery driver",metiers professions,,a deliveryman a delivery driver,deliveryman delivery driver,deliveryman delivery driv,un livreur un chauffeur de livraison,livreur chauffeur livraison,livreur chauffeur livraison
6388,un maçon,"a builder, a bricklayer",metiers professions,,a builder a bricklayer,builder bricklayer,builder bricklay,un maçon,maçon,maçon
6389,un maire,a mayor,metiers professions,,a mayor,mayor,mayor,un maire,maire,mair
6390,un marin,a sailor,metiers professions,,a sailor,sailor,sailor,un marin,marin,marin
6391,un mécanicien,a mechanic,metiers professions,,a mechanic,mechanic,mechan,un mécanicien,mécanicien,mécanicien
6392,"un médecin, un docteur",a doctor,metiers professions,,a doctor,doctor,doctor,un médecin un docteur,médecin docteur,médecin docteur
6393,un menuisier,a woodworker,metiers professions,,a woodworker,woodworker,woodwork,un menuisier,menuisier,menuisi
6394,un mineur,a miner,metiers professions,,a miner,miner,miner,un mineur,mineur,mineur
6395,un monteur de film,a film editor,metiers professions,,a film editor,film editor,film editor,un monteur de film,monteur film,monteur film
6396,un musicien,a musician,metiers professions,,a musician,musician,musician,un musicien,musicien,musicien
6397,un nettoyeur,a cleaner,metiers professions,,a cleaner,cleaner,cleaner,un nettoyeur,nettoyeur,nettoyeur
6398,un notaire,a notary,metiers professions,,a notary,notary,notari,un notaire,notaire,notair
6399,un ophtalmologue,an ophtalmologist,metiers professions,,an ophtalmologist,ophtalmologist,ophtalmologist,un ophtalmologue,ophtalmologue,ophtalmologu
6400,un opticien,an optician,metiers professions,,an optician,optician,optician,un opticien,opticien,opticien
6401,un pâtissier,a pastry cook,metiers professions,,a pastry cook,pastry cook,pastry cook,un pâtissier,pâtissier,pâtissier
6402,un pdg,a ceo,metiers professions,,a ceo,ceo,ceo,un pdg,pdg,pdg
6403,un pêcheur,a fisherman,metiers professions,,a fisherman,fisherman,fisherman,un pêcheur,pêcheur,pêcheur
6404,un pédiatre,a paedetrician,metiers professions,,a paedetrician,paedetrician,paedetrician,un pédiatre,pédiatre,pédiatr
6405,un peintre,a painter,metiers professions,,a painter,painter,painter,un peintre,peintre,peintr
6406,un percepteur d’impôts,a tax-collector,metiers professions,,a taxcollector,taxcollector,taxcollector,un percepteur d’impôts,percepteur ’ impôts,percepteur ’ impôt
6407,un pharmacien,a pharmacist,metiers professions,,a pharmacist,pharmacist,pharmacist,un pharmacien,pharmacien,pharmacien
6408,un photographe,a photographer,metiers professions,,a photographer,photographer,photograph,un photographe,photographe,photograph
6409,un pilote,a pilot,metiers professions,,a pilot,pilot,pilot,un pilote,pilote,pilot
6410,un plombier,a plumber,metiers professions,,a plumber,plumber,plumber,un plombier,plombier,plombier
6411,un poissonnier,a fishmonger,metiers professions,,a fishmonger,fishmonger,fishmong,un poissonnier,poissonnier,poissonni
6412,un policier,a policeman,metiers professions,,a policeman,policeman,policeman,un policier,policier,polici
6413,"un politicien, un homme politique",a politician,metiers professions,,a politician,politician,politician,un politicien un homme politique,politicien homme politique,politicien homme politiqu
6414,un pompier,a fireman,metiers professions,,a fireman,fireman,fireman,un pompier,pompier,pompier
6415,un pompiste,a service-station attendant,metiers professions,,a servicestation attendant,servicestation attendant,servicestation attend,un pompiste,pompiste,pompist
6416,un portier,a door-keeper,metiers professions,,a doorkeeper,doorkeeper,doorkeep,un portier,portier,portier
6417,un présentateur météo,a weatherman,metiers professions,,a weatherman,weatherman,weatherman,un présentateur météo,présentateur météo,présentateur météo
6418,un président de commission,a chairperson,metiers professions,,a chairperson,chairperson,chairperson,un président de commission,président commission,président commiss
6419,"un primeur, un marchand de légumes",a greengrocer,metiers professions,,a greengrocer,greengrocer,greengroc,un primeur un marchand de légumes,primeur marchand légumes,primeur marchand légum
6420,un producteur,a producer,metiers professions,,a producer,producer,produc,un producteur,producteur,producteur
6421,un psychiatre,a psychiatrist,metiers professions,,a psychiatrist,psychiatrist,psychiatrist,un psychiatre,psychiatre,psychiatr
6422,un réalisateur de films,a movie director,metiers professions,,a movie director,movie director,movie director,un réalisateur de films,réalisateur films,réalisateur film
6423,un réparateur,a repairman,metiers professions,,a repairman,repairman,repairman,un réparateur,réparateur,réparateur
6424,un scénariste,a scriptwiter,metiers professions,,a scriptwiter,scriptwiter,scriptwit,un scénariste,scénariste,scénarist
6425,un scientifique,a scientist,metiers professions,,a scientist,scientist,scientist,un scientifique,scientifique,scientifiqu
6426,un sculpteur,a sculptor,metiers professions,,a sculptor,sculptor,sculptor,un sculpteur,sculpteur,sculpteur
6427,"un secouriste, un sauveteur",a lifeguard,metiers professions,,a lifeguard,lifeguard,lifeguard,un secouriste un sauveteur,secouriste sauveteur,secouriste sauveteur
6428,un secrétaire,a secretary,metiers professions,,a secretary,secretary,secretari,un secrétaire,secrétaire,secrétair
6429,un serrurier,a locksmith,metiers professions,,a locksmith,locksmith,locksmith,un serrurier,serrurier,serruri
6430,un serveur,a waiter,metiers professions,,a waiter,waiter,waiter,un serveur,serveur,serveur
6431,un soldat,a soldier,metiers professions,,a soldier,soldier,soldier,un soldat,soldat,soldat
6432,un sportif,a sportsman,metiers professions,,a sportsman,sportsman,sportsman,un sportif,sportif,sportif
6433,un standardiste,"a telephone operator , a switchboard operator",metiers professions,,a telephone operator  a switchboard operator,telephone operator switchboard operator,telephone operator switchboard oper,un standardiste,standardiste,standardist
6434,"un tailleur, un couturier",a tailor,metiers professions,,a tailor,tailor,tailor,un tailleur un couturier,tailleur couturier,tailleur couturi
6435,un teinturier,a dry-cleaner,metiers professions,,a drycleaner,drycleaner,dryclean,un teinturier,teinturier,teinturi
6436,un traducteur,a translator,metiers professions,,a translator,translator,translat,un traducteur,traducteur,traducteur
6437,un traiteur,a caterer,metiers professions,,a caterer,caterer,cater,un traiteur,traiteur,traiteur
6438,"un travail, un métier, un boulot",a job,metiers professions,,a job,job,job,un travail un métier un boulot,travail métier boulot,travail métier boulot
6439,"un vendeur, une vendeuse",a shop assistant,metiers professions,,a shop assistant,shop assistant,shop assist,un vendeur une vendeuse,vendeur vendeuse,vendeur vendeus
6440,un vétérinaire,"a veterinary surgeon, vet",metiers professions,,a veterinary surgeon vet,veterinary surgeon vet,veterinary surgeon vet,un vétérinaire,vétérinaire,vétérinair
6441,une actrice,an actress,metiers professions,,an actress,actress,actress,une actrice,actrice,actric
6442,une couturière,a seamstress,metiers professions,,a seamstress,seamstress,seamstress,une couturière,couturière,couturièr
6443,une dactylo(graphe),a typist,metiers professions,,a typist,typist,typist,une dactylographe,dactylographe,dactylograph
6444,une femme de ménage,a cleaning lady,metiers professions,,a cleaning lady,cleaning lady,cleaning ladi,une femme de ménage,femme ménage,femme ménag
6445,une grève,a strike,metiers professions,,a strike,strike,strike,une grève,grève,grève
6446,une hôtesse de l’air,"an air hostess, a stewardess",metiers professions,,an air hostess a stewardess,air hostess stewardess,air hostess stewardess,une hôtesse de l’air,hôtesse ’ air,hôtesse ’ air
6447,une réceptionniste,a receptionist,metiers professions,,a receptionist,receptionist,receptionist,une réceptionniste,réceptionniste,réceptionnist
