ID,FRENCH,ENGLISH,THEME,IMPORTANT
4690,anglais,english,les nationalites en,
4691,angolais,angolan,les nationalites en,
4692,argentine,argentine,les nationalites en,
4693,australien,australian,les nationalites en,
4694,autrichien,austrian,les nationalites en,
4695,belge,belgian,les nationalites en,
4696,biélorusse,belarusian,les nationalites en,
4697,bolivien,bolivian,les nationalites en,
4698,bosniaque / herzégovine,bosnian/herzegovinian,les nationalites en,
4699,brésilien,brazilian,les nationalites en,
4700,britannique,british,les nationalites en,
4701,bulgare,bulgarian,les nationalites en,
4702,cambodgien,cambodian,les nationalites en,
4703,camerounais,cameroonian,les nationalites en,
4704,canadien,canadian,les nationalites en,
4705,centrafricain,central african,les nationalites en,
4706,chinois,chinese,les nationalites en,
4707,colombien,colombian,les nationalites en,
4708,congolais,congolese,les nationalites en,
4709,costaricien,costa rican,les nationalites en,
4710,croate,croatian,les nationalites en,
4711,danois,danish,les nationalites en,
4712,écossais,scottish,les nationalites en,
4713,émirats arabes unis,emirati,les nationalites en,
4714,équatorien,ecuadorian,les nationalites en,
4715,espagnol,spanish,les nationalites en,
4716,estonien,estonian,les nationalites en,
4717,éthiopien,ethiopian,les nationalites en,
4718,finnois,finnish,les nationalites en,
4719,français,french,les nationalites en,
4720,gallois,welsh,les nationalites en,
4721,ghanéen,ghanaian,les nationalites en,
4722,guatémaltèque,guatemalan,les nationalites en,
4723,hongrois,hungarian,les nationalites en,
4724,indien,indian,les nationalites en,
4725,indonésien,indonesian,les nationalites en,
4726,irakien,iraqi,les nationalites en,
4727,iranien,iranian,les nationalites en,
4728,irlandais,irish,les nationalites en,
4729,israélien,israeli,les nationalites en,
4730,italien,italian,les nationalites en,
4731,ivoirien,ivorian,les nationalites en,
4732,jamaïcain,jamaican,les nationalites en,
4733,japonais,japanese,les nationalites en,
4734,jordanien,jordanian,les nationalites en,
4735,kazakh,kazakh,les nationalites en,
4736,kényan,kenyan,les nationalites en,
4737,letton,latvian,les nationalites en,
4738,libyen,libyan,les nationalites en,
4739,lituanien,lithuanian,les nationalites en,
4740,malaisien,malaysian,les nationalites en,
4741,malgache,malagasy,les nationalites en,
4742,malien,malian,les nationalites en,
4743,marocain,moroccan,les nationalites en,
4744,mauritanien,mauritanian,les nationalites en,
4745,mexicain,mexican,les nationalites en,
4746,namibien,namibian,les nationalites en,
4747,néerlandais,dutch,les nationalites en,
4748,nicaraguayen,nicaraguan,les nationalites en,
4749,nigérian,nigerian,les nationalites en,
4750,nigérien,nigerien,les nationalites en,
4751,norvégien,norwegian,les nationalites en,
4752,omani,omani,les nationalites en,
4753,pakistanais,pakistani,les nationalites en,
4754,panaméen,panamanian,les nationalites en,
4755,paraguayen,paraguayan,les nationalites en,
4756,péruvien,peruvian,les nationalites en,
4757,polonais,polish,les nationalites en,
4758,portugais,portuguese,les nationalites en,
4759,roumain,romanian,les nationalites en,
4760,russe,russian,les nationalites en,
4761,salvadorien,salvadoran,les nationalites en,
4762,saoudien/ arabe saoudien,saudi/ saudi arabian,les nationalites en,
4763,sénégalais,senegalese,les nationalites en,
4764,serbe,serbian,les nationalites en,
4765,slovaque,slovak,les nationalites en,
4766,somalien,somalian,les nationalites en,
4767,soudanais,sudanese,les nationalites en,
4768,sud-africain,south african,les nationalites en,
4769,suédois,swedish,les nationalites en,
4770,syrien,syrian,les nationalites en,
4771,tchadien,chadian,les nationalites en,
4772,tchèque,czech,les nationalites en,
4773,thaïlandais,thai,les nationalites en,
4774,tunisien,tunisian,les nationalites en,
4775,turc,turkish,les nationalites en,
4776,turkmène,turkmen,les nationalites en,
4777,ukrainien,ukranian,les nationalites en,
4778,uruguayen,uruguayan,les nationalites en,
4779,vietnamien,vietnamese,les nationalites en,
4780,zambien,zambian,les nationalites en,
4781,zimbabwéen,zimbabwean,les nationalites en,
4782,un logiciel publicitaire,an adware,les nationalites en,
4783,un administrateur web,a webmaster,informatique internet,
4784,une boîte mail,mailbox,informatique internet,
4785,connexion,log-in,informatique internet,
4786,le courrier électronique,an e-mail,informatique internet,
4787,un curseur,a cursor,informatique internet,
4788,déconnexion,logout,informatique internet,
4789,discussion,chat,informatique internet,
4790,externe,external,informatique internet,
4791,un fichier joint,an attached file,informatique internet,
4792,glisser-déposer,drag and drop,informatique internet,
4793,informatisé,computerized,informatique internet,
4794,ingénieur informaticien,computer engineer,informatique internet,
4795,l’activité de blogueur,blogging,informatique internet,
4796,la mise en ligne,online posting,informatique internet,
4797,la toile,the web,informatique internet,
4798,le bas-débit,slow speed internet,informatique internet,
4799,le cache,the cache,informatique internet,
4800,le peer to peer,peer-to-peer,informatique internet,
4801,le wifi,the wi-fi,informatique internet,
4802,un logiciel,a software,informatique internet,
4803,le matériel informatique,hardware,informatique internet,
4804,le panneau de commande,the control panel,informatique internet,
4805,une police de caractère,a font,informatique internet,
4806,un port usb,a usb port,informatique internet,
4807,le réseau,network,informatique internet,
4808,sans-fil,wireless,informatique internet,
4809,un site internet,a website,informatique internet,
4810,le téléchargement,a download,informatique internet,
4811,un accès à internet,an internet access,informatique internet,
4812,un accès sécurisé,a secure access,informatique internet,
4813,un afficheur,a viewer,informatique internet,
4814,un câble,a cable,informatique internet,
4815,un cheval de troie,trojan,informatique internet,
4816,un coupe-feu,a firewall,informatique internet,
4817,un disque dur,a hard disk drive,informatique internet,
4818,un disque dur externe,an external hard drive,informatique internet,
4819,un document imprimé,a printed document,informatique internet,
4820,un écran,a screen,informatique internet,
4821,un graveur dvd / blueray,a dvd / blueray writer,informatique internet,
4822,un hameçonnage par email,phishing,informatique internet,
4823,un hyperlien,a hyperlink,informatique internet,
4824,un lecteur de document,a document reader,informatique internet,
4825,un lien,a link,informatique internet,
4826,un logiciel gratuit,a freeware,informatique internet,
4827,un moniteur,monitor,informatique internet,
4828,un mot de passe,password,informatique internet,
4829,un moteur de recherche,a search engine,informatique internet,
4830,un navigateur,a browser,informatique internet,
4831,un navigateur web,web browser,informatique internet,
4832,un nom de domaine,domain name,informatique internet,
4833,un ordinateur portable,a laptop,informatique internet,
4834,un pc de bureau,desktop computer,informatique internet,
4835,un raccourci clavier,a shortcut,informatique internet,
4836,un répertoire,directory,informatique internet,
4837,un réseau social,social network,informatique internet,
4838,un spam,a spam,informatique internet,
4839,un tableur,spreadsheet,informatique internet,
4840,un tapis de souris,mouse pad,informatique internet,
4841,un virus,a virus,informatique internet,
4842,une adresse ip,ip address,informatique internet,
4843,une barre de défilement,a scroll bar,informatique internet,
4844,une base de données,a database,informatique internet,
4845,une capture d’écran,a screenshot,informatique internet,
4846,une clé usb,a usb stick,informatique internet,
4847,une fenêtre contextuelle,pop-up window,informatique internet,
4848,une icône,an icon,informatique internet,
4849,une imprimante,a printer,informatique internet,
4850,une page d’accueil,a home page,informatique internet,
4851,une page web,a web page,informatique internet,
4852,une plate-forme,a platform,informatique internet,
4853,une webcam,a webcam,informatique internet,
4854,accéder à internet,to access the internet,informatique internet,
4855,brancher,to plug,informatique internet,
4856,charger/ mettre en ligne,to upload,informatique internet,
4857,créer un nouveau dossier,to create a new file,informatique internet,
4858,débrancher,to unplug,informatique internet,
4859,défiler vers le bas,to scroll down,informatique internet,
4860,exporter,to export,informatique internet,
4861,fusionner,to merge,informatique internet,
4862,imprimer,to print,informatique internet,
4863,naviguer,to browse,informatique internet,
4864,numériser/ scanner,to scan,informatique internet,
4865,redémarrer,to reboot,informatique internet,
4866,relancer,to restart,informatique internet,
4867,sélectionner,to select,informatique internet,
4868,taper,to type,informatique internet,
4869,trier,to sort,informatique internet,
4870,bols de mélange,mixing bowls,ustensiles cuisine,
4871,bols de service,serving bowls,ustensiles cuisine,
4872,de l’essuie-tout,kitchen paper / roll,ustensiles cuisine,
4873,des ciseaux de cuisine,kitchen shears,ustensiles cuisine,
4874,des conteneurs,food storage containers,ustensiles cuisine,
4875,des gobelets doseurs,measuring cups,ustensiles cuisine,
4876,des pincettes,tongs,ustensiles cuisine,
4877,du film alimentaire,clingfilm,ustensiles cuisine,
4878,du film plastique,plastic wrap/clingfilm,ustensiles cuisine,
4879,du papier aluminium,kitchen foil,ustensiles cuisine,
4880,l’argenterie,silverware,ustensiles cuisine,
4881,l’électro-ménager,kitchen appliances,ustensiles cuisine,
4882,qui n’attache pas,nonstick,ustensiles cuisine,
4883,résistant au four,ovenproof,ustensiles cuisine,
4884,un (four à) micro-onde,a microwave (oven),ustensiles cuisine,
4885,un beurrier,a butter dish,ustensiles cuisine,
4886,un bocal,a jar,ustensiles cuisine,
4887,un casse-noix,a nutcracker,ustensiles cuisine,
4888,un coupe-pizza,a pizza cutter,ustensiles cuisine,
4889,un couteau à découper,a carving knife,ustensiles cuisine,
4890,un couteau à pain,a bread knife,ustensiles cuisine,
4891,un couteau électrique,a electric carving knife,ustensiles cuisine,
4892,un couvercle,a lid,ustensiles cuisine,
4893,un décapsuleur,a bottle-opener,ustensiles cuisine,
4894,un dessous de plat,a table mat,ustensiles cuisine,
4895,un faitout,a stewpot,ustensiles cuisine,
4896,un fouet,a whisk,ustensiles cuisine,
4897,un grille-pain,a toaster,ustensiles cuisine,
4898,un mortier et un pilon,a mortar and pestle,ustensiles cuisine,
4899,un moule à gâteau,a baking tin,ustensiles cuisine,
4900,un moulin à poivre,a pepper grinder,ustensiles cuisine,
4901,un ouvreur de vin,a wine opener,ustensiles cuisine,
4902,un pichet,a pitcher,ustensiles cuisine,
4903,un pichet/ une cruche,a jug / a pitcher,ustensiles cuisine,
4904,un pinceau d’arrosage,a basting brush,ustensiles cuisine,
4905,un presse-ail,a garlic press,ustensiles cuisine,
4906,un presse-citron,a lemon-squeezer,ustensiles cuisine,
4907,un presse-purée,a potato masher,ustensiles cuisine,
4908,un réfrigérateur,a fridge,ustensiles cuisine,
4909,un robot ménager,a food processor,ustensiles cuisine,
4910,un rouleau à pâtisserie,a rolling pin,ustensiles cuisine,
4911,un saladier,a salad bowl,ustensiles cuisine,
4912,un service de table,a dinner set,ustensiles cuisine,
4913,un sucrier,a sugar bowl,ustensiles cuisine,
4914,un tamis,a sieve,ustensiles cuisine,
4915,un thermomètre à viande,a meat thermometer,ustensiles cuisine,
4916,un tupperware,a tupperware box,ustensiles cuisine,
4917,un wok,a wok,ustensiles cuisine,
4918,une assiette/ un plat,a plate/ a dish,ustensiles cuisine,
4919,une balance,a food scale,ustensiles cuisine,
4920,une bouteille,a bottle,ustensiles cuisine,
4921,une cafetière,a coffee pot,ustensiles cuisine,
4922,une cafetière électrique,a coffee maker,ustensiles cuisine,
4923,une capsule,a cap / a top,ustensiles cuisine,
4924,une carafe,a carafe,ustensiles cuisine,
4925,une carafe à vin,a decanter,ustensiles cuisine,
4926,une cocotte,a casserole,ustensiles cuisine,
4927,une cocotte minute,a pressure cooker,ustensiles cuisine,
4928,une cocotte-minute,a pressure-cooker,ustensiles cuisine,
4929,une corbeille à pain,a breadbasket,ustensiles cuisine,
4930,une cuillère à café,a teaspoon,ustensiles cuisine,
4931,une cuillère à dessert,a dessert spoon,ustensiles cuisine,
4932,une cuillère à remuer,a stirring spoon,ustensiles cuisine,
4933,une cuillère à soupe,a tablespoon,ustensiles cuisine,
4934,une cuisinière à gaz,a gas cooker,ustensiles cuisine,
4935,une essoreuse à salade,a salad spinner,ustensiles cuisine,
4936,une fournée,a batch,ustensiles cuisine,
4937,une friteuse,a deep fryer,ustensiles cuisine,
4938,une hotte,a cooker hood,ustensiles cuisine,
4939,une marmite,a cooking-pot,ustensiles cuisine,
4940,une mesure (récipient),a measure,ustensiles cuisine,
4941,une mijoteuse,a slow cooker,ustensiles cuisine,
4942,une passoire,a strainer / a colander,ustensiles cuisine,
4943,une poêle à griller,a grill pan,ustensiles cuisine,
4944,une poêle à rôtir,a roasting pan,ustensiles cuisine,
4945,une poivrière,a pepper shaker,ustensiles cuisine,
4946,une râpe,a grater,ustensiles cuisine,
4947,une râpe à fromage,a cheese grater,ustensiles cuisine,
4948,une salière,a salt cellar,ustensiles cuisine,
4949,une sauteuse / poêlon,a stewpan,ustensiles cuisine,
4950,une spatule,a spatula,ustensiles cuisine,
4951,une théière,a teapot,ustensiles cuisine,
4952,agrémenter d’une sauce,to flavour with sauce,verbes cuisine,
4953,allonger une sauce,to thin a sauce,verbes cuisine,
4954,aplatir,to flatten,verbes cuisine,
4955,aromatiser,to aromatize/ to flavor,verbes cuisine,
4956,arroser d’huile,to drizzle with oil,verbes cuisine,
4957,baisser le feu,to turn down the heat,verbes cuisine,
4958,beurrer,to butter,verbes cuisine,
4959,bouillir/ faire bouillir,to boil,verbes cuisine,
4960,braiser,to braise,verbes cuisine,
4961,ciseler,to chisel,verbes cuisine,
4962,colorer,to colour,verbes cuisine,
4963,confectionner,to prepare/ to make,verbes cuisine,
4964,couper en cubes,to dice/ to cube,verbes cuisine,
4965,couper en deux,to halve,verbes cuisine,
4966,couvrir/ recouvrir,to cover,verbes cuisine,
4967,débarrasser,to get rid of,verbes cuisine,
4968,débiter,to debit,verbes cuisine,
4969,décoquiller,to unshell,verbes cuisine,
4970,décorer,to decorate,verbes cuisine,
4971,découper de la viande,to carve (meat),verbes cuisine,
4972,déglacer,to deglaze,verbes cuisine,
4973,dégorger,to disgorge,verbes cuisine,
4974,délayer/ diluer,to dilute,verbes cuisine,
4975,démouler,to unmould,verbes cuisine,
4976,dénoyauter,to pit,verbes cuisine,
4977,désosser,to debone,verbes cuisine,
4978,dessaler,to desalinate,verbes cuisine,
4979,dessécher,to dry out,verbes cuisine,
4980,détailler,to detail,verbes cuisine,
4981,détendre,to loosen,verbes cuisine,
4982,diminuer le feu,to lower the temperature,verbes cuisine,
4983,dresser,to set a plate,verbes cuisine,
4984,ébarber,to trim,verbes cuisine,
4985,ébouillanter,to boil/ to scald,verbes cuisine,
4986,écumer,to skim,verbes cuisine,
4987,effeuiller,to thin out the leaves,verbes cuisine,
4988,effiler,to shred,verbes cuisine,
4989,effilocher,to unravel,verbes cuisine,
4990,égoutter,to drain,verbes cuisine,
4991,égoutter les pâtes,to drain pasta,verbes cuisine,
4992,émietter,to crumble,verbes cuisine,
4993,émulsionner,to emulsify,verbes cuisine,
4994,enfourner,to place in the oven,verbes cuisine,
4995,épaissir,to thicken,verbes cuisine,
4996,éplucher / peler,to peel,verbes cuisine,
4997,équeuter,to remove stems,verbes cuisine,
4998,essorer,to spin,verbes cuisine,
4999,essuyer un liquide,to mop up/ to wipe (off),verbes cuisine,
5000,étendre,to expand,verbes cuisine,
5001,façonner,to shape,verbes cuisine,
5002,faire brunir des oignons,to brown onions,verbes cuisine,
5003,faire flamber,to flambé,verbes cuisine,
5004,faire frémir,to bring to a simmer,verbes cuisine,
5005,faire griller du pain,to toast,verbes cuisine,
5006,faire griller du poisson,to grill fish,verbes cuisine,
5007,faire mijoter,to stew,verbes cuisine,
5008,faire rôtir,to roast,verbes cuisine,
5009,faire rotir de la viande,to roast meat,verbes cuisine,
5010,farcir/ fourrer,to stuff,verbes cuisine,
5011,fariner,to flour,verbes cuisine,
5012,fendre,to split,verbes cuisine,
5013,filtrer,to filter,verbes cuisine,
5014,garnir,to garnish,verbes cuisine,
5015,griller/ faire griller,to grill,verbes cuisine,
5016,incorporer,to incorporate,verbes cuisine,
5017,infuser,to infuse,verbes cuisine,
5018,macérer,to macerate,verbes cuisine,
5019,malaxer,to knead,verbes cuisine,
5020,mélanger,to mix,verbes cuisine,
5021,mettre de côté,to discard,verbes cuisine,
5022,moudre/ piler/ écraser,to grind,verbes cuisine,
5023,napper/ recouvrir,to coat,verbes cuisine,
5024,ôter,to remove,verbes cuisine,
5025,partager,to share,verbes cuisine,
5026,pincer,to pinch,verbes cuisine,
5027,piquer,to sting,verbes cuisine,
5028,pocher des œufs,to poach eggs,verbes cuisine,
5029,pocher du poisson,to poach fish,verbes cuisine,
5030,préchauffer le four,to preheat the oven,verbes cuisine,
5031,protéger,to protect,verbes cuisine,
5032,rabattre,to tilt,verbes cuisine,
5033,racler,to scrape,verbes cuisine,
5034,rafraîchir,to refresh,verbes cuisine,
5035,râper,to grate/ to shred,verbes cuisine,
5036,rassembler,to gather,verbes cuisine,
5037,rectifier,to correct,verbes cuisine,
5038,refroidir,to cool down,verbes cuisine,
5039,remuer/ mélanger,to stir,verbes cuisine,
5040,renverser (un plat),to spill (a dish),verbes cuisine,
5041,répartir,to distribute/ to divide,verbes cuisine,
5042,saisir,to grab,verbes cuisine,
5043,saisir à feu vif,to sear,verbes cuisine,
5044,saupoudrer/ parsemer,to sprinkle,verbes cuisine,
5045,serrer,to tighten,verbes cuisine,
5046,tailler,to prune,verbes cuisine,
5047,tapisser,to upholster,verbes cuisine,
5048,tenir au chaud,to keep warm,verbes cuisine,
5049,tremper,to dip/ to soak,verbes cuisine,
5050,vider,to empty,verbes cuisine,
5051,le petit déjeuner,breakfast,verbes cuisine,
5052,le déjeuner,lunch,nourriture et boissons,
5053,le dîner,dinner,nourriture et boissons,
5054,le souper,supper,nourriture et boissons,
5055,plat principal,main course,nourriture et boissons,
5056,cru,raw,nourriture et boissons,
5057,les plats à emporter,takeaway food,nourriture et boissons,
5058,immangeable,uneatable,nourriture et boissons,
5059,aliments complet,whole food,nourriture et boissons,
5060,allégé,diet/ light,nourriture et boissons,
5061,de l’huile,(cooking) oil,nourriture et boissons,
5062,de l’huile d’olive,olive oil,nourriture et boissons,
5063,de l’huile de colza,rapeseed oil,nourriture et boissons,
5064,de l’huile de tournesol,sunflower oil,nourriture et boissons,
5065,de la cannelle,cinnamon,nourriture et boissons,
5066,de la confiture,jam,nourriture et boissons,
5067,de la margarine,margarine,nourriture et boissons,
5068,de la marmelade d’orange,orange marmalade,nourriture et boissons,
5069,de la mayonnaise,mayonnaise,nourriture et boissons,
5070,de la moutarde,mustard,nourriture et boissons,
5071,de la noix de muscade,nutmeg,nourriture et boissons,
5072,de la sauce,sauce,nourriture et boissons,
5073,de la soupe/du potage,soup,nourriture et boissons,
5074,de la vinaigrette,salad dressing,nourriture et boissons,
5075,des céréales,cereal,nourriture et boissons,
5076,des clous de girofle,cloves,nourriture et boissons,
5077,des épices,spices,nourriture et boissons,
5078,des fines herbes,herbs,nourriture et boissons,
5079,des frittes,french fries,nourriture et boissons,
5080,des œufs brouillés,scrambled eggs,nourriture et boissons,
5081,des pâtes,pasta,nourriture et boissons,
5082,des pépites de chocolat,chocolate chips,nourriture et boissons,
5083,du basilic,basil,nourriture et boissons,
5084,du chewing-gum,chewing gum/ gum,nourriture et boissons,
5085,du chocolat,chocolate,nourriture et boissons,
5086,du curry,curry,nourriture et boissons,
5087,du fromage,cheese,nourriture et boissons,
5088,du fromage blanc,cottage cheese,nourriture et boissons,
5089,du ketchup,(tomato) ketchup,nourriture et boissons,
5090,du miel,honey,nourriture et boissons,
5091,du pain,bread,nourriture et boissons,
5092,du pain tranché,sliced bread,nourriture et boissons,
5093,du riz,rice,nourriture et boissons,
5094,du romarin,rosemary,nourriture et boissons,
5095,du sucre,sugar,nourriture et boissons,
5096,du sucre de canne,cane sugar,nourriture et boissons,
5097,du sucre glace,icing sugar,nourriture et boissons,
5098,du vinaigre,vinegar,nourriture et boissons,
5099,l’amidon,starch,nourriture et boissons,
5100,l’avoine,oats,nourriture et boissons,
5101,la semoule,semolina,nourriture et boissons,
5102,petit pain au lait,bun/ roll,nourriture et boissons,
5103,un biscuit,a biscuit/cookie (us),nourriture et boissons,
5104,un bonbon,sweet (gb)/ candy (us),nourriture et boissons,
5105,un gâteau,a cake,nourriture et boissons,
5106,un œuf,egg,nourriture et boissons,
5107,un œuf à la coque,boiled egg,nourriture et boissons,
5108,un œuf poché,poached egg,nourriture et boissons,
5109,un œuf sur le plat,fried egg,nourriture et boissons,
5110,un sandwich,a sandwich,nourriture et boissons,
5111,une boîte de chocolat,box of chocolates,nourriture et boissons,
5112,une crêpe,a pancake,nourriture et boissons,
5113,une omelette,omelette,nourriture et boissons,
5114,une tablette de chocolat,chocolate bar,nourriture et boissons,
5115,une tarte,tart,nourriture et boissons,
5116,une tourte,pie,nourriture et boissons,
5117,une tranche de pain,a slice of bread,nourriture et boissons,
5118,à point,medium,nourriture et boissons,
5119,bien cuit,well-done,nourriture et boissons,
5120,de la saucisse,sausage,nourriture et boissons,
5121,de la viande,meat,nourriture et boissons,
5122,de la viande blanche,white meat,nourriture et boissons,
5123,de la viande hachée,minced meat/ ground meat,nourriture et boissons,
5124,de la viande rouge,red meat,nourriture et boissons,
5125,des oeufs au bacon,bacon and eggs,nourriture et boissons,
5126,des travers de porc,spare ribs,nourriture et boissons,
5127,du bacon,bacon,nourriture et boissons,
5128,du blanc de poulet,chicken breast,nourriture et boissons,
5129,du bœuf,beef,nourriture et boissons,
5130,du gibier,venison,nourriture et boissons,
5131,du veau,veal,nourriture et boissons,
5132,tendre,tender,nourriture et boissons,
5133,un bifteck,steak,nourriture et boissons,
5134,un rôti / le filet,a joint / fillet,nourriture et boissons,
5135,une aile,a wing,nourriture et boissons,
5136,une côtelette,a cutlet / a chop,nourriture et boissons,
5137,de l’églefin,haddock,nourriture et boissons,
5138,de la petite friture,whitebait,nourriture et boissons,
5139,de la sardine,sardine,nourriture et boissons,
5140,des crustacés,shellfish,nourriture et boissons,
5141,du hareng fumé et salé,kipper/ pickled herring,nourriture et boissons,
5142,du loup / du bar,seabass,nourriture et boissons,
5143,du poisson fumé,smoked fish,nourriture et boissons,
5144,du rouget / du mulet,mullet,nourriture et boissons,
5145,du saumon fumé,smoked salmon,nourriture et boissons,
5146,une crevette (rose),prawn/ shrimp (us),nourriture et boissons,
5147,crémeux,creamy,nourriture et boissons,
5148,de la crème,cream,nourriture et boissons,
5149,du beurre salé,salted butter,nourriture et boissons,
5150,du fromage maigre,low-fat cheese,nourriture et boissons,
5151,du fromage rappé,grated cheese,nourriture et boissons,
5152,du lait,milk,nourriture et boissons,
5153,du yaourt grec,greek yoghurt,nourriture et boissons,
5154,du yogourt / yaourt,yoghurt,nourriture et boissons,
5155,pasteurisé,pasteurized,nourriture et boissons,
5156,une bouteille de lait,a milk bottle,nourriture et boissons,
5157,une brique de lait,a carton of milk,nourriture et boissons,
5158,de l’alcool,alcohol,nourriture et boissons,
5159,de l’alcool fort,spirit,nourriture et boissons,
5160,de l’eau gazeuse,sparkling water,nourriture et boissons,
5161,de l’orangeade,orange squash/ orangeade,nourriture et boissons,
5162,de la bière,beer,nourriture et boissons,
5163,de la liqueur,liqueur,nourriture et boissons,
5164,de la vodka,vodka,nourriture et boissons,
5165,des glaçons,ice cube,nourriture et boissons,
5166,du café moulu/soluble,ground/instant coffee,nourriture et boissons,
5167,du champagne,champagne,nourriture et boissons,
5168,du cidre,cider,nourriture et boissons,
5169,du cognac,brandy,nourriture et boissons,
5170,du gin,gin,nourriture et boissons,
5171,du jus,juice,nourriture et boissons,
5172,du jus d’orange,orange juice,nourriture et boissons,
5173,du jus de pommes,apple juice,nourriture et boissons,
5174,du jus de raisins,grape juice,nourriture et boissons,
5175,du porto,port,nourriture et boissons,
5176,du rhum,rum,nourriture et boissons,
5177,du schweppes,tonic water,nourriture et boissons,
5178,du sherry,sherry,nourriture et boissons,
5179,du vin de table,table wine,nourriture et boissons,
5180,du vin mousseux,sparkling wine,nourriture et boissons,
5181,du vin rouge/rosé/blanc,red/rosé/white wine,nourriture et boissons,
5182,du whisky,whisky/ whiskey,nourriture et boissons,
5183,non alcoolisé,non-alcoholic,nourriture et boissons,
5184,pétillant ; gazeux,fizzy/ carbonated,nourriture et boissons,
5185,un chocolat chaud,hot chocolate,nourriture et boissons,
5186,un coca,coke,nourriture et boissons,
5187,un cocktail,cocktail,nourriture et boissons,
5188,une pinte de bière,a pint of beer,nourriture et boissons,
5189,de la crème anglaise,custard,nourriture et boissons,
5190,de la crème fraîche,fresh cream,nourriture et boissons,
5191,du dessert,sweet (gb)/ dessert (us),nourriture et boissons,
5192,du pudding,pudding,nourriture et boissons,
5193,un beignet,donut,nourriture et boissons,
5194,une tarte aux pommes,apple pie,nourriture et boissons,
5195,fade,tasteless / bland,nourriture et boissons,
5196,poivré,peppery,nourriture et boissons,
5197,avoir faim,to be hungry,nourriture et boissons,
5198,avoir soif,to be thirsty,nourriture et boissons,
5199,manger sur place,to dine in,nourriture et boissons,
5200,se saouler,to get drunk,nourriture et boissons,
5201,des dunes de sable,sand dunes,plage et bord de mer,
5202,des galets,shingles,plage et bord de mer,
5203,des naufragés,shipwrecked people,plage et bord de mer,
5204,des vacanciers,holidaymakers,plage et bord de mer,
5205,l’air marin,sea air,plage et bord de mer,
5206,l’horizon,the horizon,plage et bord de mer,
5207,la brise,the breeze,plage et bord de mer,
5208,la jetée,the pier,plage et bord de mer,
5209,la mousse,the foam,plage et bord de mer,
5210,la poupe,the stern,plage et bord de mer,
5211,la profondeur,the depth,plage et bord de mer,
5212,la rive/ le rivage,the shoreline/ the shore,plage et bord de mer,
5213,le bord de mer,the seaside,plage et bord de mer,
5214,le fond de la mer,the seabed,plage et bord de mer,
5215,marée basse,low tide,plage et bord de mer,
5216,marée haute,high tide,plage et bord de mer,
5217,tribord,starboard,plage et bord de mer,
5218,un aviron; une rame,rowing; oar,plage et bord de mer,
5219,un ballon de plage,a beach ball,plage et bord de mer,
5220,un bateau à vapeur,a steamboat,plage et bord de mer,
5221,un bateau de pêche,a fishing boat,plage et bord de mer,
5222,un bateau; un navire,a boat; a ship,plage et bord de mer,
5223,un bikini,a bikini,plage et bord de mer,
5224,un canot pneumatique,a dinghy,plage et bord de mer,
5225,un château de sable,a sand castle,plage et bord de mer,
5226,un drapeau,a flag,plage et bord de mer,
5227,un gouvernail,a rudder,plage et bord de mer,
5228,un homme à la mer !,man overboard !,plage et bord de mer,
5229,un maillot de bain,a bathing suit,plage et bord de mer,
5230,un maître nageur,a swimming instructor,plage et bord de mer,
5231,un mât,a mast,plage et bord de mer,
5232,un matelas pneumatique,an air mattress,plage et bord de mer,
5233,un nageur,a swimmer,plage et bord de mer,
5234,un naufrage,a shipwreck,plage et bord de mer,
5235,un navire,a ship/ a vessel,plage et bord de mer,
5236,un officier naval,a naval officer,plage et bord de mer,
5237,un parasol,a beach umbrella,plage et bord de mer,
5238,un pédalo,a pedal boat,plage et bord de mer,
5239,un petit bateau,a small boat,plage et bord de mer,
5240,un phare,a lighthouse,plage et bord de mer,
5241,un pique-nique,a picnic,plage et bord de mer,
5242,un pont (de navire),a bridge (of a ship),plage et bord de mer,
5243,un poste de secours,a first-aid-post,plage et bord de mer,
5244,un poste de surveillance,a lifeguard tower,plage et bord de mer,
5245,un promontoire,a promontory,plage et bord de mer,
5246,un radeau,a raft,plage et bord de mer,
5247,un transat,a deckchair,plage et bord de mer,
5248,une ancre,an anchor,plage et bord de mer,
5249,une bouche de rivière,a river mouth,plage et bord de mer,
5250,une bouée,a buoy,plage et bord de mer,
5251,une cargaison,a cargo,plage et bord de mer,
5252,une épave,a wreck,plage et bord de mer,
5253,une glacière,a cooler/ an ice box,plage et bord de mer,
5254,une insolation,a sunstroke,plage et bord de mer,
5255,une marina,a marina,plage et bord de mer,
5256,une pelle,a shovel,plage et bord de mer,
5257,une serviette de plage,a beach towel,plage et bord de mer,
5258,une station,a resort,plage et bord de mer,
5259,chavirer,to capsize,plage et bord de mer,
5260,débarquer,to disembark,plage et bord de mer,
5261,éclabousser,to splash,plage et bord de mer,
5262,faire du surf,to go surfing,plage et bord de mer,
5263,jeter l’ancre,to drop anchor,plage et bord de mer,
5264,lever l’ancre,to weigh anchor,plage et bord de mer,
5265,monter à bord,to go on board,plage et bord de mer,
5266,passer par dessus-bord,to fall overboard,plage et bord de mer,
5267,patauger,to wade,plage et bord de mer,
5268,se faire bronzer,to get a tan,plage et bord de mer,
5269,à l’ordre du jour,on the agenda,politique gouvernement,
5270,à la main de fer,iron-handed,politique gouvernement,
5271,bidon,phoney,politique gouvernement,
